地区,Province,行政区划名,CoalBalance2019,"煤合计
(万吨)
Coal Total
(104 tons)"
北 京,Beijing,北京市,35.89,-35.89
天 津,Tianjin,天津市,2092.42,-2092.42
河 北,Hebei,河北省,9574.46,-9574.46
山 西,Shanxi,山西省,13931.04,-13931.04
内蒙古,Nei Mongol,内蒙古自治区,26564.54,-26564.54
辽 宁,Liaoning,辽宁省,7022.17,-7022.17
吉 林,Jilin,吉林省,4025.81,-4025.81
黑龙江,Heilongjiang,黑龙江省,4501.15,-4501.15
上 海,Shanghai,上海市,2634.17,-2634.17
江 苏,Jiangsu,江苏省,15296.39,-15296.39
浙 江,Zhejiang,浙江省,8444.14,-8444.14
安 徽,Anhui,安徽省,10371.86,-10371.86
福 建,Fujian,福建省,5422.06,-5422.06
江 西,Jiangxi,江西省,4100.7,-4100.70
山 东,Shandong,山东省,20515.83,-20515.83
河 南,Henan,河南省,10149.78,-10149.78
湖 北,Hubei,湖北省,5355.93,-5355.93
湖 南,Hunan,湖南省,3320.46,-3320.46
广 东,Guangdong,广东省,11170.38,-11170.38
广 西,Guangxi,广西壮族自治区,4114.07,-4114.07
海 南,Hainan,海南省,835.79,-835.79
重 庆,Chongqing,重庆市,2054.31,-2054.31
四 川,Sichuan,四川省,1690.96,-1690.96
贵 州,Guizhou,贵州省,6839.91,-6839.91
云 南,Yunnan,云南省,1521.95,-1521.95
陕 西,Shaanxi,陕西省,7223.46,-7223.46
甘 肃,Gansu,甘肃省,3639.44,-3639.44
青 海,Qinghai,青海省,465.15,-465.15
宁 夏,Ningxia Hui,宁夏回族自治区,7019.27,-7019.27
新 疆,Xinjiang Uygur,新疆维吾尔族自治区,13188.1,-13188.10
澳 门,Aomen,澳门特别行政区,0,0
西 藏,Xizang,西藏自治区,0,0
台 湾,Taiwan,台湾省,0,0
香 港,Xianggang,香港特别行政区,0,0
